short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
3019.02,93da4d1b-d574-45b0-85d7-5b82e2887267,4398,21,65 St & 2 Ave,40.640493,-74.02564,2021-09-22,2021
3019.03,18326827-dcae-47e0-8518-c4bb9e21eef6,4549,35,Keegan Rd & 2 Ave,40.6424313970609,-74.0255355834961,2024-09-26,2024
3019.03,18326827-dcae-47e0-8518-c4bb9e21eef6,4549,35,Keegan Rd & 2 Ave,40.6424313970609,-74.0255355834961,2023-03-22,2023
3019.03,18326827-dcae-47e0-8518-c4bb9e21eef6,4549,0,Keegan Rd & 2 Ave,40.6424313970609,-74.0255355834961,2022-12-12,2022
3022.01,1814907590556515014,1814907590556515014,23,Cortelyou Rd & E 19 St,40.64269,-73.96099,2024-09-26,2024
3034.02,1822663031356509142,1822663031356509142,21,Matthews Ct & Coney Island Ave,40.64235,-73.96951,2024-09-26,2024
3038.08,7cb65297-c880-459a-b054-4e059576c02a,4732,22,50 St & 7 Ave,40.642501,-74.006055,2024-09-26,2024
3038.08,7cb65297-c880-459a-b054-4e059576c02a,4732,22,50 St & 7 Ave,40.642501,-74.006055,2023-03-22,2023
3038.08,7cb65297-c880-459a-b054-4e059576c02a,4732,22,50 St & 7 Ave,40.642501,-74.006055,2022-12-12,2022
3046.03,8df41833-c7bf-4171-bdab-58d64f6ade54,4365,21,E 3 St & Church Ave,40.643817,-73.977433,2024-09-26,2024
3046.03,8df41833-c7bf-4171-bdab-58d64f6ade54,4365,21,E 3 St & Church Ave,40.643817,-73.977433,2023-03-22,2023
3046.03,8df41833-c7bf-4171-bdab-58d64f6ade54,4365,21,E 3 St & Church Ave,40.643817,-73.977433,2022-12-12,2022
3046.03,8df41833-c7bf-4171-bdab-58d64f6ade54,4365,21,E 3 St & Church Ave,40.643817,-73.977433,2021-09-22,2021
3050.03,566a6389-5c22-49ca-8c24-4d9eea135170,4393,28,55 St & 5 Ave,40.642408,-74.013318,2024-09-26,2024
3050.03,566a6389-5c22-49ca-8c24-4d9eea135170,4393,28,55 St & 5 Ave,40.642408,-74.013318,2023-03-22,2023
3050.03,566a6389-5c22-49ca-8c24-4d9eea135170,4393,28,55 St & 5 Ave,40.642408,-74.013318,2022-12-12,2022
3050.03,566a6389-5c22-49ca-8c24-4d9eea135170,4393,28,55 St & 5 Ave,40.642408,-74.013318,2021-09-22,2021
3056.05,ad037fe2-4a28-4b55-863c-229aada0b43a,4368,21,12 Ave & 36 St,40.643546,-73.986418,2024-09-26,2024
3056.05,ad037fe2-4a28-4b55-863c-229aada0b43a,4368,21,12 Ave & 36 St,40.643546,-73.986418,2023-03-22,2023
3056.05,ad037fe2-4a28-4b55-863c-229aada0b43a,4368,21,12 Ave & 36 St,40.643546,-73.986418,2022-12-12,2022
3056.05,ad037fe2-4a28-4b55-863c-229aada0b43a,4368,21,12 Ave & 36 St,40.643546,-73.986418,2021-09-22,2021
3070.04,1814907423052790164,1814907423052790164,26,E 16 St & Cortelyou Rd,40.64173,-73.96364,2024-09-26,2024
3084.05,816e50eb-dc4b-47dc-b773-154e2020cb0d,4391,19,52 St & 6 Ave,40.642703,-74.009441,2024-09-26,2024
3084.05,816e50eb-dc4b-47dc-b773-154e2020cb0d,4391,19,52 St & 6 Ave,40.642703,-74.009441,2023-03-22,2023
3084.05,816e50eb-dc4b-47dc-b773-154e2020cb0d,4391,19,52 St & 6 Ave,40.642703,-74.009441,2022-12-12,2022
3084.05,816e50eb-dc4b-47dc-b773-154e2020cb0d,4391,19,52 St & 6 Ave,40.642703,-74.009441,2021-09-22,2021
3087.01,1828965671716082498,1828965671716082498,19,Cortelyou Rd & E 34 St,40.64454,-73.94486,2024-09-26,2024
3090.06,557f8d40-dec1-4c61-bd03-a0d1a6ea0e4b,4376,29,Church Ave & McDonald Ave,40.642809,-73.979239,2024-09-26,2024
